"muni6","municipality_name","health_region_22","official_macroregion_5","source_reference"
"230010","Abaiara","19ª Região Brejo Santo","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230015","Acarape","3ª Região Maracanaú","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230020","Acaraú","12ª Região Acaraú","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230030","Acopiara","18ª Região Iguatú","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230040","Aiuaba","14ª Região Tauá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230050","Alcântaras","11ª Região Sobral","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230060","Altaneira","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230070","Alto Santo","10ª Região Limoeiro do Norte","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230075","Amontada","6ª Região Itapipoca","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230080","Antonina do Norte","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230090","Apuiarés","2ª Região Caucaia","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230100","Aquiraz","1ª Região Fortaleza","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230110","Aracati","7ª Região Aracati","Litoral_Leste_Jaguaribe","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230120","Aracoiaba","4ª Região Baturité","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230125","Ararendá","15ª Região Crateús","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230130","Araripe","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230140","Aratuba","4ª Região Baturité","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230150","Arneiroz","14ª Região Tauá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230160","Assaré","20ª Região Crato","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230170","Aurora","19ª Região Brejo Santo","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230180","Baixio","17ª Região Icó","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230185","Banabuiú","8ª Região Quixadá","Sertao_Central","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230190","Barbalha","21ª Região Juazeiro do Norte","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230195","Barreira","3ª Região Maracanaú","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230200","Barro","19ª Região Brejo Santo","Cariri","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230205","Barroquinha","16ª Região Camocim","Norte_Sobral","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230210","Baturité","4ª Região Baturité","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
"230220","Beberibe","22ª Região Cascavel","Fortaleza","DATASUS-IBGE_regional_2019 + SESA-CE_PES_2020-2023 (see docs/v3_2_regional_mapping_validation.md)"
