definition,state,episode_id,onset_week,peak_week,end_week,duration_weeks,weeks_onset_to_peak,episode_case_count,episode_cumulative_incidence_per_100k,peak_weekly_cases,peak_weekly_incidence_per_100k,quiet_weeks_before_episode,first4_case_count,first6_case_count,first8_case_count,first6_nonzero_weeks,re_prefit_eligible,re_prefit_eligible_n20,re_prefit_eligible_n50,reason_if_not_eligible,left_censored_start,right_censored_end,first6_max_week_share,recurrence_order,is_recurrence
permissive,AC,AC_episode_01,2016-03-27,2016-06-05,2016-07-03,15,10,49,5.859183492886473,11,1.315326906566351,56,7,13,18,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.23076923076923078,1,FALSE
permissive,AC,AC_episode_02,2016-11-13,2018-10-28,2019-03-17,123,102,355,41.745293951557564,25,2.9359815103628404,8,6,9,12,5,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.2222222222222222,2,TRUE
permissive,AC,AC_episode_03,2019-12-01,2021-03-14,2021-07-18,86,67,233,26.86885734580668,27,3.1093596331416276,9,4,4,7,3,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.5,3,TRUE
permissive,AC,AC_episode_04,2021-09-12,2021-10-31,2022-07-03,43,7,43,4.9435887704154995,7,0.8061302752589407,7,8,10,21,6,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3,4,TRUE
permissive,AC,AC_episode_05,2023-02-12,2023-04-09,2023-05-21,15,8,18,2.053430255241381,3,0.3422383758735634,9,5,6,8,4,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,5,TRUE
permissive,AC,AC_episode_06,2023-11-26,2023-12-31,2024-09-29,45,5,221,25.119245004728064,35,3.9927810518582403,6,8,45,68,5,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.7777777777777778,6,TRUE
permissive,AC,AC_episode_07,2024-12-29,2025-01-12,2025-08-31,36,2,50,5.656611532447751,8,0.904596708172579,10,20,26,32,6,FALSE,TRUE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3076923076923077,7,TRUE
permissive,AL,AL_episode_01,2015-11-22,2016-05-22,2017-10-01,98,26,9791,307.11429985567145,667,20.9228252024997,46,65,84,122,6,TRUE,TRUE,TRUE,NA,FALSE,FALSE,0.44047619047619047,1,FALSE
permissive,AL,AL_episode_02,2018-06-03,2018-06-10,2018-09-09,15,1,89,2.781138754449822,9,0.28123875044998203,6,18,33,49,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2727272727272727,2,TRUE
permissive,AL,AL_episode_03,2019-01-13,2019-07-14,2019-11-10,44,26,1498,46.68551539811712,91,2.8360359821286103,6,22,39,60,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.23076923076923078,3,TRUE
permissive,AL,AL_episode_04,2020-04-12,2020-05-03,2020-08-23,20,3,101,3.1416970701030817,9,0.27995320426661124,21,24,33,37,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2727272727272727,4,TRUE
permissive,AL,AL_episode_05,2021-05-09,2022-06-26,2024-12-29,191,59,12263,381.02406414814686,691,21.470422550965843,6,21,44,79,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2727272727272727,5,TRUE
permissive,AL,AL_episode_06,2025-02-16,2025-07-27,2025-12-28,46,23,3904,121.21031479908396,280,8.69336274173758,6,13,56,93,6,TRUE,TRUE,TRUE,NA,FALSE,TRUE,0.4107142857142857,6,TRUE
permissive,AM,AM_episode_01,2016-11-27,2017-03-05,2017-03-26,18,14,93,2.3540709759239085,10,0.2521221118151481,69,26,33,42,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.24242424242424243,1,FALSE
permissive,AM,AM_episode_02,2022-03-06,2022-05-01,2022-05-08,10,8,93,2.2143959068439356,22,0.5238355908663074,28,28,46,66,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2391304347826087,2,TRUE
permissive,AM,AM_episode_03,2023-03-26,2023-04-02,2023-09-03,24,1,165,3.890985435687788,14,0.3301442187856305,45,39,49,59,6,TRUE,TRUE,FALSE,NA,FALSE,FALSE,0.2857142857142857,3,TRUE
permissive,AP,AP_episode_01,2016-02-14,2016-10-02,2019-04-14,166,33,584,76.28913487622138,12,1.5853136543065045,46,3,3,5,2,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.6666666666666666,1,FALSE
permissive,AP,AP_episode_02,2021-01-03,2021-08-08,2021-09-26,39,31,75,9.483215341060678,17,2.1495288106404207,37,6,6,7,4,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,2,TRUE
permissive,AP,AP_episode_03,2022-01-02,2022-03-13,2022-07-10,28,10,24,3.017133547130769,3,0.3771416933913461,11,3,3,5,3,FALSE,FALSE,FALSE,fewer than 4 nonzero weeks in first 6; fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,3,TRUE
permissive,AP,AP_episode_04,2023-05-07,2024-02-25,2025-10-05,127,42,334,41.59205368135899,27,3.363073699891759,6,5,6,7,4,FALSE,FALSE,FALSE,fewer than 30 reported cases in first 6 weeks,FALSE,FALSE,0.3333333333333333,4,TRUE
